key;source;alias;id;information;navn;email;picture
1;facebook;Trine;tirine-11;(birthday, 18.10.88) (Job, Blogger);Trine Blikk;trine@gmail.com;http://www.bakeri.net/ep_bilder/64/6420-3f9b2496ac2de8d2763752e365321161-2c7d8a6863cfa6e5546e87cbf0c4b3cdida2.jpg
2;instagram;Trine;trine-12;(Trine Blikk) (Profisjonell kakeblogger);BakingQueen;rine@gmail.com;http://www.bakeri.net/ep_bilder/64/6420-3f9b2496ac2de8d2763752e365321161-2c7d8a6863cfa6e5546e87cbf0c4b3cdida2.jpg
3;pin;Trine;trine-13;(Trine Blikk) (Profisjonell kakeblogger);BakingQueen;rine@gmail.com;http://www.bakeri.net/ep_bilder/64/6420-3f9b2496ac2de8d2763752e365321161-2c7d8a6863cfa6e5546e87cbf0c4b3cdida2.jpg
4;bloggspott;Trine;trine-14;Passion for baking;Tine blikk;rine@gmail.com;http://www.bakeri.net/ep_bilder/64/6420-3f9b2496ac2de8d2763752e365321161-2c7d8a6863cfa6e5546e87cbf0c4b3cdida2.jpg
5;facebook;Gaute;gaut-15;;Gaute Hansen;G.H@gmail.com;http://photo.elsoar.com/wp-content/images/Attractive-young-man-with-a-laptop.jpg
6;linkedin;Gaute;gaut-16;;Gaute Hansen;G.H@gmail.com;http://photo.elsoar.com/wp-content/images/Attractive-young-man-with-a-laptop.jpg
7;twitter;Gaute;gaut-17;;Gaute Hansen;G.H@gmail.com;http://photo.elsoar.com/wp-content/images/Attractive-young-man-with-a-laptop.jpg
8;instagram;Gaute;gaut-18;;Gaute Hansen;G.H@gmail.com;http://photo.elsoar.com/wp-content/images/Attractive-young-man-with-a-laptop.jpg
9;google;Gaute;gaut-19;;Gaute Hansen;gaute@gmail.com;http://photo.elsoar.com/wp-content/images/Attractive-young-man-with-a-laptop.jpg
10;facebook;lars;lar-20;;Lars Kristian Eriksen;lke@gmail.com;http://pngimg.com/upload/businessman_PNG6582.png
11;linkedin;lars;lar-21;;Lars Kristian Eriksen;lke@gmail.com;http://pngimg.com/upload/businessman_PNG6582.png
12;twitter;lars;lar-22;;Lars Kristian ;lke@gmail.com;http://pngimg.com/upload/businessman_PNG6582.png
13;instagram;lars;lar-23;;Lars Kristian;lke@gmail.com;http://pngimg.com/upload/businessman_PNG6582.png
14;google;lars;lar-24;;Lars Kristian Eriksen;lke@gmail.com;http://pngimg.com/upload/businessman_PNG6582.png
15;bloggpost;Olga;olg-25;;Olga Fjeld;oli@gmail.com;http://www.bloggportalen.se/blogportalimages/avatars/originals/84713.png
16;facebook;per;Per-26;;Per Johansen;per@gmail.com;http://static3.bigstockphoto.com/thumbs/7/0/4/large2/40788355.jpg
17;facebook;Hanne;han-27;;Hanne Jons;HJ@hotmail.com;https://s-media-cache-ak0.pinimg.com/originals/79/27/d0/7927d0db0a2bad32f016a0e3c1965f1a.jpg
18;linkedin;alt1;alt1-28;(profession, programmer) (degree, master);Svein Olav;svi@hotmail.com;http://37.media.tumblr.com/940f6b38aed522ef3eacc5332213b4c2/tumblr_mux9biV9af1s71mfqo1_400.jpg
19;facebook;alt1;alt1-29; (birthday, 18.10.89) ;Svein Olav;svi@hotmail.com;http://37.media.tumblr.com/940f6b38aed522ef3eacc5332213b4c2/tumblr_mux9biV9af1s71mfqo1_400.jpg
20;google;alt1;alt1-30;;Svein Olav;svi@hotmail.com;http://37.media.tumblr.com/940f6b38aed522ef3eacc5332213b4c2/tumblr_mux9biV9af1s71mfqo1_400.jpg
21;linkedin;alt2;alt2-31;(profession, programmer) (degree, bachelor);Marita Hule;ha@hotmail.com;
22;linkedin;alt3;alt3-32;(profession, programmer) (degree, master);Tor eggum;hu@hotmail.com;http://i.istockimg.com/file_thumbview_approve/9298059/3/stock-photo-9298059-young-businessman.jpg
23;linkedin;torg;tor-33;(profession, finance ) (degree, master);Torgeir Knudsen;torg@hotmail.com;https://c1.staticflickr.com/7/6178/6140989632_1c8066563d_b.jpg
24;facebook;torg;tor-34; (birthday, 18.10.75) ;Torgeir Knudsen;torg@hotmail.com;https://c1.staticflickr.com/7/6178/6140989632_1c8066563d_b.jpg
25;facebook;mats;mat-35;(Job, freelance photographer) ;Mats Hudson;mat@gmail.com;http://cdn.sheknows.com/articles/2012/01/Couple_Vacation.jpg
26;instagram;Johan Lewis;jo-36;(job, Party promoter);J-Lew;Jol@gmail.com;http://resources2.news.com.au/images/2014/09/26/1227071/342090-4f9a8cb0-42e2-11e4-8097-e6944daf3820.jpg
27;instagram;Sandra ;san-37;(jobb, blogger and singer);Sandra;San@gmail.com;http://1hqwallpaper.mobi/wp-content/uploads/sandra-lyng-haugen-5.jpg
28;instagram;guri ;gur-38;(Proff golfspiller som elsker livet);Golf Guri;gg@gmail.com;http://content.nike.com/content/dam/one-nike/en_us/golf/sp13/Athletes/Landscape/golf-athlete-suzann-petterson5-landscape.jpg.transform/default/image.jpg
29;twitter;king;kin-39;(Funniest man alive);King;king@gmail.com;http://garrettkell.com/wp-content/uploads/2014/05/Twitter-with-a-Crown.jpg
30;phone;trine;12345678;;Trine Hansen;;
31;phone;Gaute;23456789;;Gaute hansen;;
32;phone;Lars;34567890;;Lars Kristian Eriksen;;
33;phone;Torgeir;45678901;;Torgeir knudsen;;
34;phone;Hanne ;84904931;;;;
35;phone;Johan;84934906;;;;
